Offset(P)            #Ptr   #Hnd Access Name
0x0000000004bf9958      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3045685~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bf9b58      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2604115_SP1~31bf3856ad364e35~x86~~6.1.1.3.mum
0x0000000004bfa2e0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3133977_SP1~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfa508      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3021674_SP1~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfa658      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_3_for_KB4471318~31bf3856ad364e35~x86~~6.1.1.5.mum
0x0000000004bfa880      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_2_for_KB4054518~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfa9a0      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB4471318_RTM~31bf3856ad364e35~x86~~6.1.1.5.mum
0x0000000004bfae18      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2862330~31bf3856ad364e35~x86~~6.1.2.0.mum
0x0000000004bfb3f0      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2640148_SP1~31bf3856ad364e35~x86~~6.1.2.0.mum
0x0000000004bfb688      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x0000000004bfbf80      8      0 R--r-- \Device\HarddiskVolume1\Windows\winsxs\FileMaps\program_files_windows_sidebar_gadgets_clock.gadget_85cde96256fb59df.cdf-ms
0x0000000004bfc4d8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2585542_SP1~31bf3856ad364e35~x86~~6.1.1.3.mum
0x0000000004bfc5d8      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB4054518_RTM~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfc698      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_351_for_KB4054518~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfc790      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_1_for_KB2862330~31bf3856ad364e35~x86~~6.1.2.0.mum
0x0000000004bfca28      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB3045645_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bfcd50      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_2_for_KB2862330~31bf3856ad364e35~x86~~6.1.2.0.mum
0x0000000004bfd3d8      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2853952_SP1~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfd568      7      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_for_KB2690533_SP1~31bf3856ad364e35~x86~~6.1.1.0.mum
0x0000000004bfd940      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_16_for_KB3133977~31bf3856ad364e35~x86~~6.1.1.2.mum
0x0000000004bfdc28      8      0 R--r-- \Device\HarddiskVolume1\Windows\servicing\Packages\Package_121_for_KB4054518~31bf3856ad364e35~x86~~6.1.1.2.mum
